State,"Electric (EV)",total_vehicles,EV_adoption_rate
Alabama,13000,4835900,0.27
Alaska,2700,559800,0.48
Arizona,89800,6529000,1.38
Arkansas,7100,2708300,0.26
California,1256600,36850300,3.41
Colorado,90100,5441800,1.66
Connecticut,31600,2945700,1.07
Delaware,8400,914700,0.92
"District of Columbia",8100,312100,2.60
Florida,254900,18583200,1.37
Georgia,92400,9642400,0.96
Hawaii,25600,1080100,2.37
Idaho,8500,1974600,0.43
Illinois,99600,10043200,0.99
Indiana,26100,6172100,0.42
Iowa,9000,3153300,0.29
Kansas,11300,2621100,0.43
Kentucky,11600,4039700,0.29
Louisiana,8200,3774200,0.22
Maine,7400,1236000,0.60
Maryland,72100,5060000,1.42
Massachusetts,73800,5491100,1.34
Michigan,50300,8525400,0.59
Minnesota,37100,5118500,0.72
Mississippi,3600,2723300,0.13
Missouri,26900,5626000,0.48
Montana,4600,1021700,0.45
Nebraska,6900,1971200,0.35
Nevada,47400,2556100,1.85
"New Hampshire",9900,1383700,0.72
"New Jersey",134800,7324100,1.84
"New Mexico",10300,1952400,0.53
"New York",131300,11318600,1.16
"North Carolina",70200,9085500,0.77
"North Dakota",1000,797400,0.13
Ohio,50400,10317300,0.49
Oklahoma,22800,4287900,0.53
Oregon,64400,3832700,1.68
Pennsylvania,70200,10211000,0.69
"Rhode Island",6400,877600,0.73
"South Carolina",20900,5042400,0.41
"South Dakota",1700,918000,0.19
Tennessee,33200,6538800,0.51
Texas,230100,25796600,0.89
Utah,40000,3076200,1.30
Vermont,7800,593100,1.32
Virginia,84900,7723500,1.10
Washington,152100,6816100,2.23
"West Virginia",2800,1510900,0.19
Wisconsin,24900,5529000,0.45
Wyoming,1100,652900,0.17
